67-8522525,JPY,UAH,3/7/17 12:49,5617.73
16-7969736,EUR,IDR,8/30/16 2:03,589.96
86-3908216,CNY,PEN,7/5/16 11:50,7690.08
01-5847282,CNY,XPF,4/9/17 21:59,244.08
57-2782339,COP,CNY,1/22/17 23:44,1547.04
52-3404697,EUR,ILS,7/12/16 12:39,372.98
67-9647010,CNY,JPY,12/7/16 4:59,1450.26
94-2682616,PHP,MXN,9/11/16 1:37,766.81
23-8837617,PHP,PLN,5/11/17 0:10,3292.79
91-4467361,ILS,EUR,2/9/17 14:57,6706.66
18-8144562,IDR,MYR,6/2/16 23:01,9520.37
37-3065871,IDR,DOP,9/9/16 5:06,6308.39
69-1475974,CRC,SEK,12/17/16 20:59,359.93
93-3076580,JPY,EUR,8/6/16 20:39,7789.93
11-6264463,GTQ,CNY,5/1/17 3:14,163.66
71-5635973,EUR,BGN,6/16/16 12:59,5025.28
93-1209124,AFN,JPY,6/3/16 13:39,6635.36
33-9919157,IDR,RUB,10/13/16 11:07,5849.92
77-9423047,PGK,EUR,9/7/16 16:43,9079.34
84-0424420,IDR,EUR,5/18/17 16:06,6943.84
94-8854912,CNY,CNY,9/4/16 1:04,9833.65
83-2248702,RUB,ARS,6/5/16 14:23,8310.85
99-0059996,BRL,PHP,3/27/17 10:55,7952.38
55-5128606,CLP,RUB,7/13/16 14:05,2534.95
13-3629523,RUB,MXN,7/5/16 9:14,5187.92
60-0813708,IDR,ZWL,10/23/16 9:01,248.41
16-0287635,JOD,CRC,12/1/16 3:49,9065.6
50-2795997,PLN,CNY,5/12/17 5:01,4033.46
75-7005129,BRL,CNY,6/20/16 13:00,9753.13
60-5136202,COP,PHP,8/24/16 8:20,3785.18
16-3553370,LRD,EUR,10/31/16 23:39,5843.23
14-8785777,BRL,VND,1/28/17 20:55,7240.3
36-4568637,CNY,CNY,6/23/16 14:41,5784.21
96-4276027,EUR,CNY,12/27/16 9:02,8173.23
12-8293915,IDR,CNY,7/12/16 14:55,4776.65
26-3684302,UAH,CRC,12/13/16 14:31,1563.74
71-8098350,USD,CZK,11/22/16 18:45,1591.46
53-7386751,VND,GEL,7/25/16 17:13,8708.88
54-2542066,IDR,NGN,6/22/16 23:56,5638.49
05-8921673,CNY,USD,12/17/16 23:17,2418.69
93-2919786,PHP,XOF,8/8/16 1:02,370.19
81-7734507,HNL,CNY,12/31/16 13:38,2053.92
65-5183896,PHP,KZT,1/2/17 21:25,5091.54
29-7469273,JPY,EUR,3/28/17 10:42,9432.55
87-7268949,NGN,CNY,4/1/17 19:07,6297.77
15-6936120,UGX,CRC,4/23/17 13:27,8087
35-7897512,NPR,ARS,12/2/16 0:43,1868.69
41-8834577,SOS,ZAR,3/1/17 23:18,6359.72
03-7216292,MXN,CNY,11/21/16 16:26,1402.79
04-2120138,IDR,CNY,8/18/16 17:32,2533.21
61-1941821,EUR,YER,8/1/16 11:05,4304.65
70-7631376,ILS,PLN,1/25/17 7:53,8275.32
14-9737507,CNY,EUR,10/12/16 3:55,97.11
00-3433778,MXN,IDR,7/15/16 6:28,6896.18
29-8683797,IDR,ARS,10/1/16 11:51,361.86
49-7353096,CNY,CZK,7/3/16 7:18,877.07
01-6485772,CNY,CNY,1/27/17 18:07,5389.55
31-7472919,ARS,CNY,10/19/16 1:01,5118.48
79-7401035,CNY,EUR,3/12/17 6:50,9287.45
81-1984857,IDR,EUR,11/6/16 8:29,3600.36
32-6278577,IDR,IDR,11/25/16 13:11,3091.32
18-3138161,PLN,IDR,5/25/16 7:51,3472.06
13-8395523,EUR,NGN,1/11/17 11:35,2227.34
83-3472130,BRL,PHP,3/29/17 5:12,1447.42
14-6924451,IDR,ZAR,2/21/17 19:47,3961.65
21-1903287,NOK,PHP,6/22/16 2:36,4852.26
34-2410091,RUB,CNY,11/19/16 14:43,3378.14
78-4034036,IDR,IDR,2/8/17 16:23,9640.84
97-3873658,CNY,NGN,5/3/17 15:17,4622.36
15-5825747,RUB,IDR,4/12/17 10:41,8320.83
98-7624721,JPY,JPY,7/11/16 2:18,2500.02
43-6212528,HRK,MGA,12/21/16 12:27,1843.77
78-3967178,EUR,IDR,6/12/16 6:49,6101.66
08-5849949,IQD,PKR,11/11/16 15:32,2923.48
45-8997753,PHP,EUR,6/10/16 11:50,9749.79
70-4652311,VND,KRW,1/27/17 11:16,5557.83
49-5362717,QAR,RUB,2/11/17 17:30,7848.61
17-0980544,UAH,PLN,6/13/16 8:51,8959.99
50-7931052,CZK,IDR,9/12/16 5:53,7990.99
